iter	Passed	Remaining
0	316	126103
1	613	122121
2	945	125072
3	1235	122319
4	1534	121228
5	1849	121469
6	2154	120945
7	2459	120495
8	2831	122992
9	3170	123644
10	3508	124084
11	3837	124093
12	4200	125036
13	4517	124557
14	4848	124445
15	5149	123584
16	5433	122419
17	5753	122094
18	6041	121147
19	6360	120852
20	6646	119957
21	6951	119447
22	7266	119110
23	7582	118799
24	7879	118187
25	8178	117649
26	8524	117761
27	8852	117611
28	9187	117542
29	9521	117437
30	9865	117430
31	10215	117478
32	10547	117304
33	10878	117099
34	11206	116863
35	11539	116680
36	11835	116120
37	12166	115903
38	12488	115595
39	12832	115493
40	13165	115277
41	13522	115262
42	13833	114846
43	14144	114442
44	14473	114180
45	14776	113714
46	15078	113248
47	15416	113053
48	15779	113029
49	16119	112836
50	16438	112493
51	16749	112095
52	17099	111955
53	17448	111801
54	17759	111402
55	18077	111046
56	18397	110709
57	18691	110217
58	19011	109882
59	19322	109495
60	19620	109038
61	19928	108641
62	20265	108404
63	20579	108044
64	20868	107552
65	21190	107237
66	21517	106943
67	21824	106556
68	22169	106349
69	22528	106207
70	22919	106206
71	23286	106082
72	23619	105800
73	23945	105487
74	24253	105100
75	24551	104666
76	24861	104289
77	25178	103942
78	25476	103517
79	25820	103282
80	26161	103031
81	26472	102660
82	26799	102353
83	27118	102018
84	27444	101705
85	27752	101330
86	28071	100992
87	28396	100678
88	28735	100413
89	29088	100194
90	29474	100083
91	29832	99874
92	30219	99755
93	30555	99468
94	30873	99120
95	31206	98819
96	31498	98391
97	31840	98120
98	32161	97784
99	32447	97342
100	32740	96924
101	33084	96657
102	33416	96355
103	33748	96053
104	34081	95754
105	34417	95460
106	34735	95115
107	35057	94785
108	35379	94452
109	35720	94171
110	36103	94000
111	36463	93763
112	36820	93518
113	37150	93201
114	37504	92946
115	37829	92618
116	38210	92423
117	38576	92190
118	38930	91927
119	39280	91654
120	39600	91309
121	39921	90969
122	40249	90643
123	40584	90332
124	40896	89972
125	41248	89700
126	41567	89353
127	41893	89023
128	42231	88718
129	42546	88366
130	42879	88049
131	43243	87796
132	43578	87484
133	43902	87148
134	44235	86832
135	44558	86495
136	44868	86134
137	45198	85812
138	45532	85496
139	45849	85148
140	46172	84812
141	46501	84488
142	46849	84197
143	47169	83857
144	47485	83509
145	47826	83204
146	48141	82855
147	48468	82527
148	48824	82248
149	49153	81922
150	49476	81586
151	49811	81271
152	50131	80931
153	50464	80612
154	50808	80310
155	51173	80041
156	51497	79706
157	51837	79397
158	52170	79075
159	52491	78736
160	52792	78369
161	53113	78030
162	53447	77712
163	53780	77390
164	54131	77096
165	54462	76772
166	54796	76451
167	55104	76096
168	55454	75798
169	55778	75464
170	56100	75128
171	56433	74807
172	56752	74466
173	57103	74168
174	57455	73871
175	57791	73553
176	58137	73247
177	58477	72932
178	58817	72618
179	59132	72273
180	59475	71961
181	59830	71665
182	60144	71318
183	60485	71004
184	60839	70705
185	61182	70392
186	61511	70063
187	61842	69737
188	62176	69414
189	62498	69077
190	62856	68780
191	63176	68441
192	63502	68109
193	63823	67770
194	64172	67463
195	64510	67143
196	64829	66803
197	65173	66490
198	65493	66151
199	65826	65826
200	66142	65484
201	66475	65158
202	66814	64839
203	67133	64500
204	67471	64180
205	67816	63865
206	68171	63561
207	68535	63263
208	68878	62946
209	69228	62635
210	69585	62330
211	69919	62004
212	70271	61693
213	70623	61383
214	70947	61048
215	71290	60729
216	71611	60391
217	71949	60067
218	72283	59741
219	72641	59433
220	72994	59122
221	73338	58803
222	73664	58468
223	73978	58126
224	74298	57787
225	74637	57464
226	74984	57146
227	75350	56843
228	75725	56545
229	76151	56285
230	76527	55987
231	76889	55678
232	77261	55376
233	77610	55056
234	77948	54730
235	78284	54401
236	78612	54066
237	78944	53735
238	79255	53389
239	79591	53060
240	79910	52720
241	80240	52388
242	80553	52045
243	80890	51716
244	81235	51393
245	81576	51068
246	81929	50749
247	82277	50427
248	82630	50108
249	82980	49788
250	83317	49459
251	83662	49134
252	83998	48805
253	84334	48475
254	84670	48145
255	85012	47819
256	85351	47491
257	85695	47165
258	86035	46837
259	86368	46506
260	86684	46165
261	87008	45828
262	87359	45506
263	87703	45180
264	88041	44851
265	88369	44517
266	88694	44181
267	89016	43843
268	89342	43508
269	89665	43172
270	90014	42848
271	90332	42509
272	90709	42198
273	91095	41890
274	91459	41572
275	91819	41252
276	92181	40932
277	92520	40602
278	92872	40278
279	93219	39951
280	93558	39620
281	93887	39286
282	94243	38962
283	94584	38633
284	94918	38300
285	95249	37966
286	95583	37633
287	95920	37302
288	96249	36967
289	96575	36632
290	96910	36299
291	97268	35975
292	97607	35645
293	97938	35311
294	98276	34979
295	98640	34657
296	98984	34327
297	99336	34001
298	99688	33674
299	100029	33343
300	100374	33013
301	100710	32680
302	101030	32343
303	101366	32010
304	101704	31678
305	102050	31348
306	102377	31013
307	102728	30685
308	103083	30357
309	103405	30020
310	103766	29695
311	104125	29368
312	104472	29038
313	104826	28710
314	105146	28372
315	105478	28038
316	105825	27708
317	106154	27373
318	106494	27040
319	106855	26713
320	107198	26382
321	107538	26049
322	107900	25722
323	108238	25389
324	108549	25049
325	108874	24713
326	109214	24381
327	109543	24046
328	109908	23718
329	110252	23386
330	110594	23054
331	110935	22721
332	111257	22385
333	111570	22046
334	111892	21710
335	112231	21377
336	112566	21043
337	112915	20712
338	113260	20380
339	113605	20048
340	113964	19718
341	114295	19383
342	114652	19053
343	114983	18718
344	115339	18387
345	115669	18052
346	116023	17721
347	116348	17385
348	116688	17051
349	117029	16718
350	117379	16386
351	117712	16051
352	118062	15719
353	118388	15383
354	118726	15049
355	119067	14716
356	119385	14379
357	119725	14046
358	120078	13713
359	120418	13379
360	120759	13046
361	121104	12712
362	121449	12379
363	121772	12043
364	122121	11710
365	122447	11374
366	122793	11041
367	123132	10707
368	123474	10373
369	123795	10037
370	124175	9706
371	124515	9372
372	124853	9037
373	125182	8702
374	125511	8367
375	125844	8032
376	126190	7698
377	126576	7366
378	126908	7031
379	127250	6697
380	127588	6362
381	127913	6027
382	128262	5693
383	128598	5358
384	128940	5023
385	129278	4688
386	129621	4354
387	129954	4019
388	130283	3684
389	130617	3349
390	130945	3014
391	131286	2679
392	131624	2344
393	131944	2009
394	132308	1674
395	132691	1340
396	133017	1005
397	133353	670
398	133677	335
399	134041	0
